name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Selfmade Bitter,Selfmade Brewery,Bitter - Best,2024-06-25,3.937,25.0,,,,4.5,,4
Banshee,"Boxing Wizard Brewery,Punchiller",Porter - Imperial / Double,2023-11-01,4.189,,,,,6.8,,4
Imža: Fiejchoa,Malanka,Sour - Fruited Berliner Weisse,2024-10-30,4.238,5.0,,,,4.3,,4
Tomato Kiss,Rock-n-Rolla’s,Sour - Other Gose,2021-12-23,3.938,20.0,,,,4.5,,3
Джетлаг,Chibis Brewery,IPA - New England / Hazy,2024-08-01,3.975,,,,,6.7,,4
Trifon IPA (Трифон IPA),Вятич,IPA - American,2016-01-14,2.685,50.0,,,,5.9,,3
Святой Домкрат (Vintage 2022. Special Blend),Toksovo Cidrerie / Токсовская Сидрерия,Cider - Traditional / Apfelwein,2023-08-04,,,,,,4.8,,4
Sourbusters 2,"Panzer Brewery,Mitra",Sour - Fruited,2024-07-23,4.067,2.0,,,,6.0,,4
Ветер Перемен,White Stone Brewery,IPA - New England / Hazy,2024-08-22,3.955,30.0,,,,6.0,,4
Fedya Mangal Club,Paradox,Spiced / Herbed Beer,2023-07-03,4.133,10.0,,,,3.5,,4
Chainsword,Midnight Project,IPA - Imperial / Double,2024-09-27,4.077,60.0,,,,6.8,,4
Smuha: El Dorado,Malanka,IPA - Imperial / Double New England / Hazy,2020-01-15,4.242,18.0,El Dorado,"Pilsner,Flaked Oats,Flaked Wheat,Flaked Rye",,6.8,18.0,4
Noč: Tmavý Ležák,Malanka,Lager - Tmavé (Czech Dark),2024-10-01,4.133,30.0,Saaz,"Pilsner,Munich,Caramunich,Chocolate",,4.8,13.0,4
Tomatoni: Shashlik,Jungle Brewery,Sour - Tomato / Vegetable Gose,2024-05-17,4.248,10.0,,,,5.0,,4
Good Doctor,Bierstaat,Stout - Oatmeal,2024-10-14,3.571,20.0,,,,6.7,,4
Жэўжык,Вір,Mead - Melomel,2024-10-03,3.953,,,,Cranberry,6.0,15.0,4
Стаут,Chester Brewery,Stout - Milk / Sweet,2020-11-24,3.244,23.0,,,,5.5,,4
IPA,13 Litar,IPA - American,2016-03-24,3.901,50.0,"Premiant,Simcoe,Kazbek,Jarrylo","Pale Ale,Pilsner,Munich,Caraaroma,Carared",,5.1,15.0,0
Aecht Schlenkerla Weichsel – Rotbier,Schlenkerla,Rauchbier,2023-06-20,3.822,,,,,4.6,,4
Yuzberg Weiss (Юзберг Вайс),Suzdal Brewery,Wheat Beer - Hefeweizen,2018-03-21,3.441,14.0,,,,5.7,,4
Denninghoff's Weizen,Denninghoff's,Wheat Beer - Hefeweizen,2015-09-06,3.07,,,,,5.3,,4
Planet Alpha,Bierbank,IPA - Triple,2024-09-23,4.166,70.0,"Simcoe,Mosaic",,,6.8,,4
Rainy Days,Midnight Project,IPA - Imperial / Double New England / Hazy,2023-10-20,4.184,30.0,"Ahhhroma,Idaho 7,Mosaic",,,6.8,,4
VIENNA LAGER,Kvadrat,Lager - Vienna,2024-07-11,,,,,,4.8,,4
YELLOW SPACE HEDGEHOGS,Big Village Brewery,IPA - Imperial / Double New England / Hazy,2024-09-09,4.134,40.0,,,,6.8,,4
SNAKE GAME,Big Village Brewery,IPA - New England / Hazy,2024-09-16,4.01,35.0,,,,6.8,,4
Cloudmaster,Selfmade Brewery,Pale Ale - Milkshake,2024-09-18,3.917,35.0,,,,5.2,,3
ICE BATTLE,Big Village Brewery,IPA - Cold,2024-09-03,3.908,50.0,,,,6.0,,3
Избыточность [HBC 1019],"4BREWERS,Mager Brewery",Pale Ale - Belgian,2024-09-17,3.77,,,,,6.5,,4
Свидание,4BREWERS,Stout - American,2024-09-17,3.709,,,,,5.5,,3
Баланс Белого,Милл Фауз,Wheat Beer - Other,2022-09-12,2.643,,,,,4.0,,4
Basic Element: Oatmeal Stout,Paradox,Stout - Oatmeal,2020-01-20,3.662,20.0,,,,6.7,,4
Iconic West Coast IPA,Paradox,IPA - American,2022-06-21,3.845,60.0,"Citra,Columbus,Vic Secret,Mosaic",,,6.5,,3
Blk Mag,Selfmade Brewery,IPA - New England / Hazy,2024-09-09,4.019,50.0,,,,6.0,,4
Tomorrow Land,Paradox,Pale Ale - New England / Hazy,2021-04-12,3.775,30.0,,,,5.0,,3
Backstage,13 Litar,IPA - American,2022-09-14,3.695,50.0,"Columbus,Galaxy","Pale Ale,Pilsner",,6.5,15.5,4
Red River,Stamm Brewing,Pale Ale - American,2014-10-07,3.741,60.0,,,,5.5,,4
High Kick,Green Street Brewery,IPA - Triple,2017-05-01,3.73,110.0,,,,6.8,,4
Chakra,Jungle Brewery,Sour - Fruited,2024-08-23,4.325,,,,"Raspberry,Lactose",5.0,,4
Evil Jungle,Jungle Brewery,IPA - Triple,2024-09-02,4.319,100.0,"Citra,Amarillo",,,6.8,24.5,4
Full Immersion,Atmosphere Brewery,Stout - Other,2022-11-10,3.839,16.0,,,,6.8,,4
Hazylla,Bottle Share,IPA - Imperial / Double New England / Hazy,2018-12-30,3.746,,,,,6.8,,4
HOKI,Hops Brewery,Pilsner - New Zealand,2024-09-09,3.771,24.0,Nelson Sauvin,,,5.1,,4
Wheatdows,Hops Brewery,Wheat Beer - Hefeweizen,2024-07-01,3.685,5.0,,,,5.0,,4
Мистер Лис Яблочный,Heineken,Cider - Sweet,2018-04-15,3.098,,,,,4.5,,3
Station HBC-630,Bierbank,IPA - Session,2024-08-27,3.95,30.0,HBC630,,,5.0,,4
Sleeping Dog,Bierstaat,Porter - Other,2024-08-26,3.859,,,,,6.9,,3
Rager: Elani,Valaduta,IPA - Imperial / Double,2024-08-29,4.124,70.0,Elani,,,6.8,,4
Kombucha Berries,Brew Balance,Sour - Fruited,2023-03-26,3.885,5.0,,,,4.5,,4
Duality: Citra & Rakau,Bierstaat,IPA - Imperial / Double,2024-08-05,3.735,55.0,,,,6.9,,4
Fata Morgana,Bierstaat,IPA - American,2024-07-15,3.663,40.0,"Pacifica,Rakau",,,6.5,,4
Framework.gose(),Zavod,Sour - Traditional Gose,2024-05-07,3.942,10.0,,,,4.5,,4
Blanche A'la Citronnelle,"Panzer Brewery,Bierstaat",Wheat Beer - Witbier / Blanche,2024-05-21,3.879,10.0,,,,5.0,,4
Hasselt,Magistral Brewery,Wheat Beer - Witbier / Blanche,2023-12-10,3.084,,,,,4.9,,4
Tomatoni: Dill Aioli,Jungle Brewery,Sour - Tomato / Vegetable Gose,2024-08-26,4.053,10.0,,,"Dill,Garlic,Mustard,Onion,Parsley,Tomato",5.0,13.0,4
Tap Tap Tap… Hamster In Untappd,Midnight Project,Pale Ale - American,2024-07-19,3.9,40.0,"Hallertau Blanc,HBC 638",,,5.3,,4
Толстолобик,Sergacore Brewery,Sour - Smoothie / Pastry,2024-08-11,4.528,10.0,,,,5.0,,4
Егор в Руле (Egor in Rule),Zagovor Brewery,Stout - Russian Imperial,2024-08-09,4.145,,,,,6.8,,4
Quadruple Toe Loop,Midnight Project,IPA - Quadruple,2024-08-23,4.03,120.0,"Galaxy,Azacca,Wai-iti,Citra",,,6.8,,4
Hop Headshot: Motueka,Midnight Project,IPA - Triple,2024-08-23,4.037,111.0,,,,6.8,,4
Watchman,Stamm Brewing,IPA - Triple New England / Hazy,2024-08-12,4.206,,,,,6.8,,4
Blooper,Multtown Brew,IPA - American,2024-08-09,3.768,40.0,,,,6.5,,4
Prometheus,13 Litar,Porter - Imperial / Double,2022-09-21,,30.0,"Perle,Cascade","Pilsner,Vienna,Crystal,Roasted Barley",,6.8,19.8,4
Ostrovica Lezak 10 Years,Ostrovica,Pilsner - Czech / Bohemian,2024-07-13,3.722,,,,,4.0,,3
Kimchi Tomato Gose Version 2.0,Bad Balance Brew,Sour - Tomato / Vegetable Gose,2024-02-12,4.058,,,,,6.5,,4
Tinkerbell Effect 13,Delta Ksi,Porter - Baltic,2024-08-08,4.104,20.0,,,,6.9,20.0,4
Summer Time,Carousel Brewery,IPA - Session,2024-07-18,4.01,15.0,"Amarillo,Citra",,,5.0,,4
Yellow Dragon,Midnight Project,IPA - Triple New England / Hazy,2022-11-04,4.176,25.0,,,,6.8,,5
Sweet Dreams: Blackberry,Bierstaat,Mead - Other,2024-07-22,3.912,,,,Blackberry,5.0,,4
Special Bitter,Konix Brewery,Bitter - Best,2024-01-31,3.571,25.0,,,,4.7,,4
Днепро Стронг Черри (Dnepro Strong Cherry),Бабруйскі бровар,Fruit Beer,2024-07-03,3.08,,,,,6.4,,0
Lambic Kriek,Трёхсосенский,Fruit Beer,2022-04-12,2.913,,,,,5.0,,3
Stout,1516 Pub & Brewery,Stout - Other,2013-07-18,3.721,30.0,,,,5.6,,4
Рататоск Мудрая,Традиции предков,Mead - Metheglin,2023-02-06,3.966,,,,,6.0,,4
Leikeim Kellerbier,Brauhaus Leikeim,Kellerbier / Zwickelbier,2011-12-15,3.219,,,,,4.9,,4
Hoppy Diver,In Peccatum,IPA - American,2017-10-23,3.686,70.0,"Cascade,Citra",,,6.6,,4
Şalgam Spicy,Zavod,Sour - Other Gose,2024-06-24,4.107,,,,,4.5,,5
BRACKISH,Coven Brewery,Sour - Tomato / Vegetable Gose,2024-05-07,4.101,,,,,6.0,,4
Hop Headshot: Nelson Sauvin,Midnight Project,IPA - Triple,2024-07-26,4.199,111.0,Nelson Sauvin,,,6.8,,4
Simple,Пан Качын,Mead - Braggot,2024-03-05,3.85,,,,,6.0,,4
Pulse. Cherry Black Currant,Hops Brewery,Sour - Fruited,2024-07-29,4.225,,,,"Cherry Juice,Black Currant,Lactose",6.0,,4
Citra Station,Bierbank,IPA - Session,2024-07-23,3.889,30.0,Citra,,,5.0,,4
Kultura,Selfmade Brewery,Stout - Imperial / Double,2024-04-27,4.051,28.0,,,,6.9,,4
Жарко 2,Chibis Brewery,IPA - New England / Hazy,2024-06-24,4.025,,,,,6.7,,4
Cranberry And Hops Mead,Степь и ветер,Mead - Melomel,2022-09-20,4.167,,,,,6.0,,4
Deep Sea,Bierstaat,IPA - Imperial / Double,2024-07-08,3.743,55.0,"Amarillo,Sabro",,,6.9,,4
Спикиз,Magic Mess,Sour - Other Gose,2024-05-17,3.939,,,,,5.5,,4
Tomato Gose,Brew Balance,Sour - Tomato / Vegetable Gose,2023-04-25,3.569,3.0,Willamette,,,4.5,13.0,4
Rossy,Beaver,Red Ale - Other,2022-11-11,3.34,25.0,,,,5.8,,3
Danielsen & Krohn Lager,Pivkombinat Balakovsky (Пивкомбинат Балаковский),Lager - Amber / Red,2016-09-18,2.729,,,,,4.2,,4
Портер ореховый,Волковская пивоварня,Porter - Other,2024-05-28,3.246,,,,,5.8,,3
Banana Semi-sweet,Appleton Ciders,Cider - Other Fruit,2021-08-27,3.615,,,,,5.5,,3
Ultraviolence,"Time Bomb Brewery,White Stone Brewery",IPA - Triple New England / Hazy,2024-05-23,4.115,,,,,6.8,,4
Мешаешь: Писко Сауэр,Alaska Brewery,Sour - Fruited,2024-04-24,3.804,,,,,6.0,,4
Изумруд,Panzer Brewery,Mead - Melomel,2022-10-29,3.873,,,,,6.0,,4
Субтропики,Chibis Brewery,Sour - Fruited,2024-05-30,4.11,,,,,6.9,,4
Tomato Gose Light Chili,Brew Balance,Sour - Tomato / Vegetable Gose,2023-03-26,3.383,3.0,,,,4.5,,4
Сrop Сircles Lager,NONSense Brewery,Lager - Other,2023-03-13,3.719,30.0,,,,4.7,,4
Cidre Demi-Sec St. Vionnet,Soyuz-Vino (Союз-Вино),Cider - Traditional / Apfelwein,2023-03-13,3.201,,,,,5.5,,4
Banana Bubble,Magic Mess,Sour - Fruited Berliner Weisse,2022-05-17,4.018,,,,,3.0,,4
Секрет пивовара Светлое,Очаково,Lager - Helles,2021-05-08,2.559,,,,,4.7,,3
Vir: Višnia,Malanka,Wild Ale - Other,2024-04-16,4.317,,Saaz,"Pilsner,Wheat,Flaked Wheat",Cherry,6.9,13.0,4
Prorva,Malanka,Historical Beer - Other,2024-05-15,4.188,30.0,East Kent Golding,"Pilsner,Caramel",,6.8,14.0,4
Space Explorers,Carousel Brewery,IPA - Triple,2024-06-28,3.965,60.0,"El Dorado,Medusa",,,6.8,,4
Бэрримор,Plan B Brewery,Stout - Oatmeal,2015-03-21,3.739,,,,,6.5,,4
Brutiful,Valaduta,IPA - Brut,2024-06-18,4.244,30.0,Hallertau Blanc,,,6.5,,4
Fogin’ Frog,Midnight Project,IPA - Imperial / Double New England / Hazy,2023-02-17,4.126,25.0,"Talus,Mosaic",,,6.8,,4
Megahertz,Rock-n-Rolla’s,Shandy / Radler,2024-06-17,3.471,,,,Cornel,4.0,,4
Три Избы,Роян,Lager - Pale,2023-01-21,2.693,,,,,4.0,,4
Frankfurter Raspberry Radler,Frankfurter Brauhaus,Shandy / Radler,2022-02-02,3.35,,,,,2.5,,4
Bière Blanche,Brasserie Champigneulles,Wheat Beer - Witbier / Blanche,2018-08-26,3.141,,,,,4.9,,4
Frankfurter Pilsener,Frankfurter Brauhaus,Pilsner - German,2011-02-18,2.933,,,,,4.9,,3
Xenomorph Breakfast,Bierstaat,Stout - Other,2024-06-17,3.862,30.0,,,Chocolate,6.9,,4
РУБИН,Бакунин,Fruit Beer,2022-08-10,3.596,7.0,,,,6.9,,4
Cold Daze,Jungle Brewery,IPA - Cold,2024-06-10,4.242,50.0,"Warrior,Vista,Citra",,,5.6,,4
Bliskavica: Eclipse,Malanka,IPA - New England / Hazy,2024-06-05,4.424,40.0,Eclipse,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,17.0,4
Say Lore To the Black Cat,"Black Cat Brewery,Mitra",Sour - Fruited,2024-06-03,3.96,,,,,4.5,,4
Raven,Bierstaat,Porter - Baltic,2024-06-24,3.751,25.0,,,,6.9,,4
Endless Summer,Bierstaat,IPA - American,2024-06-03,3.825,40.0,"Strata,Pacifica",,,6.5,,4
Живое светлое,Pivkombinat Balakovsky (Пивкомбинат Балаковский),Lager - Pale,2017-08-16,2.577,,,,,4.0,,4
Цацки,Magic Mess,Sour - Berliner Weisse,2024-04-04,4.087,,,,,4.0,,4
Летний вайб : малина,Atmosphere Brewery,Sour - Fruited Berliner Weisse,2023-07-03,3.892,,,,,5.5,,4
Кислый движ,Atmosphere Brewery,Sour - Fruited,2021-11-11,3.835,,,,"Melon,Pineapple,Banana,Peach",6.5,,4
Night Thirsty Milkshake IPA With Raspberry,Black Cat Brewery,IPA - Milkshake,2023-10-25,3.842,5.0,,,,6.6,,4
Double Decker Ale,New Riga’s Brewery,Bitter - Session / Ordinary,2015-06-09,3.493,25.0,,,,5.0,,4
The Path,Jungle Brewery,IPA - Imperial / Double,2024-05-27,4.387,90.0,"Warrior,Citra,Mosaic",,,6.8,19.8,4
The Great Outdoors,Bierstaat,IPA - New England / Hazy,2024-06-03,3.721,30.0,"Zappa,Strata",,,6.7,,4
Dunwall,Bierstaat,IPA - Session,2024-06-17,3.871,35.0,Moutere,,,5.5,,4
Varka Blanche,New Riga’s Brewery,Wheat Beer - Witbier / Blanche,2021-04-27,3.272,12.0,,,,4.0,,4
Varka Psheno,New Riga’s Brewery,Wheat Beer - Hefeweizen,2014-06-06,3.295,,,,,5.5,,4
Мешаешь: Негрони,Alaska Brewery,Sour - Other,2023-11-23,3.57,,,,,6.0,,4
Juicy Squeeze,Jungle Brewery,IPA - New Zealand,2024-04-29,4.328,50.0,"Moutere,Motueka,Nectaron",,,6.8,17.3,4
Shiva,Bierstaat,Stout - Milk / Sweet,2024-05-06,4.086,,,,,6.2,,4
Гозе Томат Асызбал,Trigger,Sour - Other Gose,2023-09-04,,8.0,,,,4.0,,4
Friedenfelser Hefe-Weizen,Schlossbrauerei Friedenfels,Wheat Beer - Hefeweizen,2014-02-04,3.641,8.0,,,,5.2,,4
Münchner,Bierstaat,Lager - Helles,2024-01-08,3.712,15.0,,,,4.5,,4
Helldiver,Midnight Project,IPA - Imperial / Double,2024-05-18,3.818,80.0,"McKenzie,Citra",,,6.8,,4
Atomic Dream,Valaduta,Bock - Doppelbock,2024-05-21,4.307,25.0,,,,6.8,,4
Abšar: Vic Secret,Malanka,IPA - White / Wheat,2024-05-27,4.302,40.0,Vic Secret,"Pilsner,Wheat,Flaked Wheat",,6.8,18.0,4
Saĺsa: Verde,Malanka,Sour - Tomato / Vegetable Gose,2024-05-29,4.365,,,"Pilsner,Wheat","Tomato,Jalapeno,Coriander,Garlic,Chili,Lime,Allspice,Caraway,Black Pepper,Red Pepper,Ginger",4.0,12.0,4
Tomato Soul,Brewmen,Sour - Traditional Gose,2020-11-03,3.792,5.0,,,"Tomato,Red Currant",4.5,,4
Pilsner Cascade,HAS Brew,Pilsner - Other,2024-05-26,3.452,20.0,,,,5.2,,4
Seth & Riley's Garage Crafty Zero Drink Grapefruit,Аліварыя,Non-Alcoholic Beer - Shandy / Radler,2024-05-05,3.354,,,,,,,3
For All the Cats,Black Cat Brewery,Sour - Fruited,2023-08-23,4.16,,,,,5.5,,4
Sleeping Volcano,Jungle Brewery,IPA - Imperial / Double Black,2024-03-07,4.289,90.0,"Warrior,Chinook,Cashmere,Citra",,,6.8,19.3,4
GROWTH,Main Rule,IPA - Imperial / Double New England / Hazy,2023-10-05,3.841,40.0,,,,6.8,,4
Morning Bastard,Selfmade Brewery,Stout - Coffee,2024-04-05,4.025,34.0,,,,6.4,,4
Lost Reality,Bierstaat,Pilsner - Other,2024-05-06,3.819,,"Saaz,Perle",,,5.0,,4
Samco-1 (Самко-1),Самко,Lager - Pale,2012-10-26,2.655,,,,,5.0,,3
Alice,Panzer Brewery,Fruit Beer,2023-05-22,3.429,20.0,,,,4.5,,4
Cidre Royal Pear,Royal Fruit Garden,Cider - Sweet,2023-04-25,,,,,,5.0,,4
Фермерский Эль Манго,Волковская пивоварня,Farmhouse Ale - Other,2023-07-22,3.427,,,,,4.8,,4
Decontrol: Chocolate Wafer Bar,Zagovor Brewery,Porter - Imperial / Double,2024-04-12,4.043,,,,,6.8,,4
Remember Who You Are,"Rewort Brewery,Punchiller",IPA - Triple,2024-03-29,4.105,85.0,,,,6.8,,4
First Charge,Jungle Brewery,IPA - Imperial / Double,2024-04-22,4.366,90.0,"Chinook,Warrior,Citra,Centennial",,,6.8,17.5,4
Single Hop Player: Moutere,Midnight Project,IPA - New Zealand,2024-04-25,4.02,50.0,Moutere,,,6.8,,4
Tomatoni: Gyros,Jungle Brewery,Sour - Tomato / Vegetable Gose,2024-04-22,4.192,10.0,,,,5.0,13.0,4
U.F.O,Bierstaat,Pilsner - Other,2024-01-29,3.813,25.0,,,,5.4,,4
Gold Mine Beer,Anadolu Efes,Lager - Pale,,2.142,,,,,4.5,,2
J.Hardy Melon & Cheesecake,Бабруйскі бровар,Fruit Beer,2024-03-30,2.439,,,,,5.0,,3
СТЕПНОЙ торт,"Boozy Kitchen,Степь и ветер",Mead - Other,2023-11-13,4.006,,,,,6.0,,5
Ирландский стаут,Alaska Brewery,Stout - Irish Dry,2023-12-15,3.63,,,,,6.0,,4
Folded Hands,Zagovor Brewery,IPA - Imperial / Double New England / Hazy,2022-04-08,4.113,35.0,,,,6.8,,4
Конец квартиры №50,Brewlok,IPA - Other,2024-04-12,3.737,,,,,6.2,,4
Rose Mead,"Степь и ветер,Drink Craft",Mead - Melomel,2024-01-21,4.025,,,,,6.8,,4
TOMATOCALYPSE,"Panzer Brewery,Ganza Brewery",Sour - Other Gose,2024-04-22,3.902,12.0,,,,4.6,,4
Michael J.,Rewort Brewery,IPA - American,2022-10-03,3.889,39.0,,,,6.9,,4
Сергей Б.,Rewort Brewery,Porter - Baltic,2023-12-08,3.908,30.0,,,,6.8,,4
Watermelon Cider,Appleton Ciders,Cider - Other Fruit,2018-03-22,3.772,,,,,5.5,,4
Батончик (Арахис),White Stone Brewery,Stout - Imperial / Double Milk,2024-03-11,4.046,11.0,,,,6.8,,4
Wave Amarillo & Talus,Bierstaat,IPA - American,2024-03-25,3.768,40.0,"Amarillo,Talus",,,6.4,,4
Pils,Alpirsbacher Klosterbräu,Pilsner - German,2010-08-21,3.33,28.0,,,,4.9,,4
Wendigo,Selfmade Brewery,IPA - New England / Hazy,2024-02-27,4.041,46.0,,,,6.0,,4
Венское (Venskoe),Pivkombinat Balakovsky (Пивкомбинат Балаковский),Lager - Vienna,2017-08-26,2.64,,,,,4.0,,3
Nemetskoe (Немецкое),Pivkombinat Balakovsky (Пивкомбинат Балаковский),Lager - Pale,2022-06-25,3.025,,,,,4.4,,3
Zhigulevskoe (Жигулевское),Pivkombinat Balakovsky (Пивкомбинат Балаковский),Lager - Pale,2015-02-11,2.596,,,,,4.0,,3
Шампанское Асти,Хмельной фермер,Fruit Beer,2023-12-27,,,,,,4.9,,3
Cider Time: Яблочный с мятой,Cider Time,Cider - Other Fruit,2024-03-20,,,,,,5.5,,4
Love On the Peach,Selfmade Brewery,Sour - Fruited,2024-02-12,4.032,10.0,,,,6.9,,4
Blackstage,13 Litar,IPA - Black / Cascadian Dark Ale,2023-12-12,3.729,45.0,"Columbus,Centennial,Idaho 7","Pilsner,Vienna,Caramel,Roasted Barley",,6.8,16.0,2
Velociraptor,Bierstaat,IPA - Imperial / Double,2024-01-29,4.033,40.0,"Simcoe,Triumph",,,6.9,,4
Printemps De Provance,Пан Качын,Mead - Metheglin,2024-03-28,4.064,,,,,6.9,,4
New Dreams,Carousel Brewery,IPA - New England / Hazy,2024-03-29,4.071,30.0,"Azacca,Ahhhroma",,,6.5,,4
